"","Dia","Valor"
"350","23.May.2011",468.34
"351","24.May.2011",472.71
"352","25.May.2011",471.35
"353","26.May.2011",471.18
"354","27.May.2011",470
"355","30.May.2011",467.31
"356","31.May.2011",467.31
"357","01.Jun.2011",465.13
"358","02.Jun.2011",466.78
"359","03.Jun.2011",467.33
"360","06.Jun.2011",468.23
"361","07.Jun.2011",468.31
"362","08.Jun.2011",466.9
"363","09.Jun.2011",467.54
"364","10.Jun.2011",467.33
"365","13.Jun.2011",468.12
"366","14.Jun.2011",467.12
"367","15.Jun.2011",466.25
"368","16.Jun.2011",467.92
"369","17.Jun.2011",471
"370","20.Jun.2011",471.33
"371","21.Jun.2011",472.95
"372","22.Jun.2011",471.05
"373","23.Jun.2011",472.04
"374","24.Jun.2011",474.59
"375","28.Jun.2011",473.64
"376","29.Jun.2011",472.96
"377","30.Jun.2011",471.13
"378","01.Jul.2011",468.15
"379","04.Jul.2011",465.98
"380","05.Jul.2011",465.34
"381","06.Jul.2011",465.43
"382","07.Jul.2011",465.36
"383","08.Jul.2011",462.01
"384","11.Jul.2011",462.89
"385","12.Jul.2011",466.26
"386","13.Jul.2011",467.4
"387","14.Jul.2011",463.65
"388","15.Jul.2011",462.02
"389","18.Jul.2011",462.17
"390","19.Jul.2011",463.94
"391","20.Jul.2011",461.5
"392","21.Jul.2011",462.32
"393","22.Jul.2011",461.65
"394","25.Jul.2011",461.36
"395","26.Jul.2011",462.49
"396","27.Jul.2011",458.73
"397","28.Jul.2011",457.12
"398","29.Jul.2011",455.91
"399","01.Aug.2011",457.41
"400","02.Aug.2011",458.51
"401","03.Aug.2011",458.05
"402","04.Aug.2011",460.23
"403","05.Aug.2011",461.79
"404","08.Aug.2011",464.32
"405","09.Aug.2011",473.38
"406","10.Aug.2011",473.71
"407","11.Aug.2011",473.05
"408","12.Aug.2011",474.1
"409","16.Aug.2011",469.87
"410","17.Aug.2011",472.13
"411","18.Aug.2011",467.66
"412","19.Aug.2011",470.38
"413","22.Aug.2011",468.47
"414","23.Aug.2011",467.91
"415","24.Aug.2011",467.48
"416","25.Aug.2011",466.75
"417","26.Aug.2011",466.88
"418","29.Aug.2011",466.92
"419","30.Aug.2011",464.73
"420","31.Aug.2011",465.66
"421","01.Sep.2011",463.19
"422","02.Sep.2011",460.62
"423","05.Sep.2011",460.34
"424","06.Sep.2011",462.37
"425","07.Sep.2011",464.03
"426","08.Sep.2011",462.63
"427","09.Sep.2011",463.21
"428","12.Sep.2011",466.74
"429","13.Sep.2011",474.07
"430","14.Sep.2011",475.6
"431","15.Sep.2011",476.85
"432","16.Sep.2011",478.57
"433","20.Sep.2011",479.28
"434","21.Sep.2011",488.19
"435","22.Sep.2011",500.22
"436","23.Sep.2011",521.85
"437","26.Sep.2011",519.58
"438","27.Sep.2011",512.34
"439","28.Sep.2011",504.24
"440","29.Sep.2011",508.51
"441","30.Sep.2011",515.14
"442","03.Oct.2011",521.76
"443","04.Oct.2011",525.95
"444","05.Oct.2011",533.74
"445","06.Oct.2011",531.05
"446","07.Oct.2011",523.31
"447","11.Oct.2011",513.76
"448","12.Oct.2011",512.61
"449","13.Oct.2011",502.33
"450","14.Oct.2011",504.3
"451","17.Oct.2011",499.57
"452","18.Oct.2011",501.94
"453","19.Oct.2011",511.14
"454","20.Oct.2011",509.28
"455","21.Oct.2011",515.57
"456","24.Oct.2011",512.72
"457","25.Oct.2011",507.12
"458","26.Oct.2011",503.83
"459","27.Oct.2011",501.12
"460","28.Oct.2011",492.04
"461","02.Nov.2011",490.29
"462","03.Nov.2011",501.49
"463","04.Nov.2011",497.48
"464","07.Nov.2011",494.08
"465","08.Nov.2011",499.47
"466","09.Nov.2011",497.43
"467","10.Nov.2011",500.2
"468","11.Nov.2011",500.84
"469","14.Nov.2011",499.66
"470","15.Nov.2011",501.35
"471","16.Nov.2011",506.99
"472","17.Nov.2011",511.66
"473","18.Nov.2011",511.09
"474","21.Nov.2011",510.11
"475","22.Nov.2011",518.24
"476","23.Nov.2011",517.96
"477","24.Nov.2011",524.3
"478","25.Nov.2011",522.4
"479","28.Nov.2011",526.83
"480","29.Nov.2011",521.07
"481","30.Nov.2011",524.25
"482","01.Dec.2011",517.37
"483","02.Dec.2011",513.73
"484","05.Dec.2011",512.89
"485","06.Dec.2011",513.09
"486","07.Dec.2011",512.68
"487","09.Dec.2011",508.67
"488","12.Dec.2011",510.4
"489","13.Dec.2011",514.11
"490","14.Dec.2011",515.13
"491","15.Dec.2011",518.49
"492","16.Dec.2011",519.06
"493","19.Dec.2011",517.29
"494","20.Dec.2011",520.3
"495","21.Dec.2011",518.66
"496","22.Dec.2011",522.62
"497","23.Dec.2011",520.21
"498","26.Dec.2011",520.39
"499","27.Dec.2011",520.54
"500","28.Dec.2011",521.78
"501","29.Dec.2011",521.74
"502","30.Dec.2011",521.46
"503","02.Jan.2012",519.2
"504","03.Jan.2012",518.2
"505","04.Jan.2012",514.34
"506","05.Jan.2012",512.23
"507","06.Jan.2012",511.8
"508","09.Jan.2012",509.54
"509","10.Jan.2012",512.4
